cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
511,2497,2141631,2083,0.855221
512,2510,2147189,2114,0.85465
513,2364,2126100,2106,0.864713
514,2459,2134106,2104,0.863093
515,2426,2130759,2117,0.86617
516,2492,2141522,2119,0.863607
517,2362,2128200,2095,0.870715
518,2400,2127025,2086,0.872928
519,2359,2122047,2087,0.876548
520,2343,2110627,2065,0.882998
521,2420,2120426,2059,0.880455
522,2314,2105261,2073,0.888417
523,2397,2116124,2076,0.885598
524,2492,2132525,2104,0.88044
525,2417,2125701,2094,0.88492
526,2379,2120618,2064,0.888644
527,2410,2123924,2066,0.888883
528,2384,2117265,2088,0.89331
529,2399,2116279,2100,0.895305
530,2334,2105116,2067,0.901634
531,2385,2110256,2085,0.90137
532,2434,2115015,2092,0.901026
533,2447,2121183,2123,0.89986
534,2413,2116394,2121,0.903659
535,2432,2122596,2114,0.902724
536,2412,2124362,2149,0.90355
537,2373,2115126,2122,0.909271
538,2350,2110210,2109,0.913043
539,2436,2120730,2120,0.910223
540,2421,2120531,2110,0.912048
541,2339,2111552,2108,0.917721
542,2389,2116019,2113,0.917488
543,2361,2112671,2072,0.920587
544,2378,2114675,2093,0.921481
545,2341,2108785,2095,0.925742
546,2455,2123219,2137,0.921061
547,2330,2110150,2112,0.928407
548,2306,2100567,2113,0.934475
549,2371,2109160,2124,0.93246
550,2347,2105177,2115,0.935816
551,2342,2105732,2080,0.937284
552,2378,2107957,2102,0.938112
553,2343,2102277,2113,0.942407
554,2330,2099018,2107,0.945551
555,2345,2098394,2092,0.947359
556,2304,2090952,2095,0.95247
557,2359,2097226,2126,0.951376
558,2333,2094714,2093,0.95427
559,2307,2094368,2114,0.956121
560,2377,2105225,2100,0.952805
561,2374,2109290,2114,0.95266
562,2460,2120202,2135,0.949497
